Binaural.Gamma,Binaural.Theta,Monaural.Gamma,Monaural.Theta
1.5823,-1.604,-1.5304,-1.2512
7.0177,0.76085,5.4758,-1.4024
-1.8778,-2.4796,-0.28986,-0.63204
-0.2622,-5.7461,2.2566,-2.4922
10.271,1.0706,11.555,2.2966
10.186,11.435,9.1857,-1.4864
-0.97042,-3.7746,-1.829,-4.0738
8.3663,-1.2297,13.31,-1.5044
1.6256,1.2534,4.6053,-0.41012
7.2465,0.13281,10.922,0.20194
-0.4376,-1.0361,3.099,0.66127
9.7398,6.2631,1.2831,5.7272
0.33769,-2.2338,-0.009508,-3.4272
3.7781,0.66219,2.8599,1.0616
6.7023,-0.36419,3.6037,0.068156
4.5166,3.4426,12.742,-1.3177
