Power [dB],Frequency,Type
1.5823,Gamma,Binaural
7.0177,Gamma,Binaural
-1.8778,Gamma,Binaural
-0.2622,Gamma,Binaural
10.271,Gamma,Binaural
10.186,Gamma,Binaural
-0.97042,Gamma,Binaural
8.3663,Gamma,Binaural
1.6256,Gamma,Binaural
7.2465,Gamma,Binaural
-0.4376,Gamma,Binaural
9.7398,Gamma,Binaural
0.33769,Gamma,Binaural
3.7781,Gamma,Binaural
6.7023,Gamma,Binaural
4.5166,Gamma,Binaural
-1.604,Theta,Binaural
0.76085,Theta,Binaural
-2.4796,Theta,Binaural
-5.7461,Theta,Binaural
1.0706,Theta,Binaural
11.435,Theta,Binaural
-3.7746,Theta,Binaural
-1.2297,Theta,Binaural
1.2534,Theta,Binaural
0.13281,Theta,Binaural
-1.0361,Theta,Binaural
6.2631,Theta,Binaural
-2.2338,Theta,Binaural
0.66219,Theta,Binaural
-0.36419,Theta,Binaural
3.4426,Theta,Binaural
-1.5304,Gamma,Monaural
5.4758,Gamma,Monaural
-0.28986,Gamma,Monaural
2.2566,Gamma,Monaural
11.555,Gamma,Monaural
9.1857,Gamma,Monaural
-1.829,Gamma,Monaural
13.31,Gamma,Monaural
4.6053,Gamma,Monaural
10.922,Gamma,Monaural
3.099,Gamma,Monaural
1.2831,Gamma,Monaural
-0.009508,Gamma,Monaural
2.8599,Gamma,Monaural
3.6037,Gamma,Monaural
12.742,Gamma,Monaural
-1.2512,Theta,Monaural
-1.4024,Theta,Monaural
-0.63204,Theta,Monaural
-2.4922,Theta,Monaural
2.2966,Theta,Monaural
-1.4864,Theta,Monaural
-4.0738,Theta,Monaural
-1.5044,Theta,Monaural
-0.41012,Theta,Monaural
0.20194,Theta,Monaural
0.66127,Theta,Monaural
5.7272,Theta,Monaural
-3.4272,Theta,Monaural
1.0616,Theta,Monaural
0.068156,Theta,Monaural
-1.3177,Theta,Monaural
