Binaural.Gamma,Binaural.Theta,Monaural.Gamma,Monaural.Theta
-0.59197,-0.84647,-2.5673,-0.14535
0.65537,7.1305,-1.0455,7.0093
-1.5838,-0.97894,-1.8018,0.76047
-1.5664,-0.34919,0.086612,2.2914
3.577,9.4454,0.35515,10.862
1.1084,12.627,6.6747,9.5966
-4.3674,-0.53261,-3.8804,-3.0783
0.73474,8.2464,-0.27392,11.915
0.79319,2.1231,1.218,3.4062
4.5656,7.1805,0.50078,9.248
-1.5938,-1.9185,1.186,1.85
11.709,7.6132,0.2686,6.9145
-3.6572,2.4455,-2.9901,1.627
0.66617,5.6721,1.8754,6.3338
0.032768,6.1562,-1.229,7.1011
0.61365,9.215,3.5749,7.7188
