Power [dB],Frequency,Type
-1.7313,Gamma,Binaural
2.6191,Gamma,Binaural
-4.2005,Gamma,Binaural
-24.719,Gamma,Binaural
1.6767,Gamma,Binaural
-0.39843,Gamma,Binaural
0.25031,Gamma,Binaural
2.0661,Gamma,Binaural
-0.10576,Gamma,Binaural
0.76447,Gamma,Binaural
-1.2711,Gamma,Binaural
5.3068,Gamma,Binaural
-1.5934,Gamma,Binaural
3.3203,Gamma,Binaural
0.43687,Gamma,Binaural
0.08315,Gamma,Binaural
-3.7663,Theta,Binaural
1.9874,Theta,Binaural
-2.2575,Theta,Binaural
-25.678,Theta,Binaural
-0.3765,Theta,Binaural
1.8811,Theta,Binaural
-0.14799,Theta,Binaural
-1.5421,Theta,Binaural
-1.7374,Theta,Binaural
-1.2904,Theta,Binaural
-1.578,Theta,Binaural
0.4936,Theta,Binaural
-1.3566,Theta,Binaural
0.084253,Theta,Binaural
-1.9405,Theta,Binaural
0.70789,Theta,Binaural
4.625,Gamma,Monaural
7.4978,Gamma,Monaural
-3.519,Gamma,Monaural
-17.631,Gamma,Monaural
9.1346,Gamma,Monaural
2.6338,Gamma,Monaural
12.332,Gamma,Monaural
10.191,Gamma,Monaural
10.37,Gamma,Monaural
10.839,Gamma,Monaural
2.0255,Gamma,Monaural
7.111,Gamma,Monaural
2.7001,Gamma,Monaural
7.1925,Gamma,Monaural
5.8705,Gamma,Monaural
11.456,Gamma,Monaural
-2.3229,Theta,Monaural
0.86117,Theta,Monaural
-2.5506,Theta,Monaural
-23.522,Theta,Monaural
-1.6451,Theta,Monaural
-3.7444,Theta,Monaural
-0.66507,Theta,Monaural
-1.8291,Theta,Monaural
0.52991,Theta,Monaural
-1.4034,Theta,Monaural
-0.73614,Theta,Monaural
0.86455,Theta,Monaural
-2.169,Theta,Monaural
0.48557,Theta,Monaural
0.30155,Theta,Monaural
-2.1686,Theta,Monaural
