Binaural.Gamma,Binaural.Theta,Monaural.Gamma,Monaural.Theta
-0.70747,-0.93121,-1.1745,0.66006
-0.73639,0.36804,-0.32357,-0.13786
-3.6383,-4.2876,-2.6831,0.026191
-29.701,-26.478,-29.166,-22.465
-3.1503,-1.8076,-0.90455,-0.21948
0.37233,-0.37895,-1.3732,1.7194
1.8085,0.89885,-2.0306,0.99375
-1.4372,1.3686,-0.46752,1.423
-1.6054,0.47227,1.1992,1.0996
-0.76262,-1.1796,0.7649,3.0798
-2.0082,-0.055962,2.3956,0.97504
-2.3635,-1.4415,-0.82153,0.2349
1.8003,1.2937,-0.12439,0.093561
-3.5852,-4.2135,-4.5511,-2.606
1.2901,2.3652,1.3091,3.1633
-2.0578,-1.3646,-1.6435,1.4134
