Power [dB],Frequency,Type
-0.70747,Gamma,Binaural
-0.73639,Gamma,Binaural
-3.6383,Gamma,Binaural
-3.1503,Gamma,Binaural
0.37233,Gamma,Binaural
1.8085,Gamma,Binaural
-1.4372,Gamma,Binaural
-1.6054,Gamma,Binaural
-0.76262,Gamma,Binaural
-2.0082,Gamma,Binaural
-2.3635,Gamma,Binaural
1.8003,Gamma,Binaural
-3.5852,Gamma,Binaural
1.2901,Gamma,Binaural
-2.0578,Gamma,Binaural
-0.93121,Theta,Binaural
0.36804,Theta,Binaural
-4.2876,Theta,Binaural
-1.8076,Theta,Binaural
-0.37895,Theta,Binaural
0.89885,Theta,Binaural
1.3686,Theta,Binaural
0.47227,Theta,Binaural
-1.1796,Theta,Binaural
-0.055962,Theta,Binaural
-1.4415,Theta,Binaural
1.2937,Theta,Binaural
-4.2135,Theta,Binaural
2.3652,Theta,Binaural
-1.3646,Theta,Binaural
-1.1745,Gamma,Monaural
-0.32357,Gamma,Monaural
-2.6831,Gamma,Monaural
-0.90455,Gamma,Monaural
-1.3732,Gamma,Monaural
-2.0306,Gamma,Monaural
-0.46752,Gamma,Monaural
1.1992,Gamma,Monaural
0.7649,Gamma,Monaural
2.3956,Gamma,Monaural
-0.82153,Gamma,Monaural
-0.12439,Gamma,Monaural
-4.5511,Gamma,Monaural
1.3091,Gamma,Monaural
-1.6435,Gamma,Monaural
0.66006,Theta,Monaural
-0.13786,Theta,Monaural
0.026191,Theta,Monaural
-0.21948,Theta,Monaural
1.7194,Theta,Monaural
0.99375,Theta,Monaural
1.423,Theta,Monaural
1.0996,Theta,Monaural
3.0798,Theta,Monaural
0.97504,Theta,Monaural
0.2349,Theta,Monaural
0.093561,Theta,Monaural
-2.606,Theta,Monaural
3.1633,Theta,Monaural
1.4134,Theta,Monaural
